#Source = https://coinmarketcap.com/all/views/all/,Retrieved: 21/10/20,,,,,,,,,,
Rank,Name,Symbol,Market Cap,Markey Cap (cleaned),Price,Circulating Supply,Circulating (cleaned),Volume (24h),% 1h,% 24h,% 7d
33,Ethereum Classic,ETC,"$606,112,357 ",606112357,$5.21 ,"116,313,299 ETC",116313299,"$443,244,438 ",2.28%,-0.55%,-2.78%
34,Filecoin,FIL,"$559,275,109 ",559275109,$30.85 ,"18,129,862 FIL",18129862,"$152,231,990 ",0.25%,-5.85%,-8.03%
35,Maker,MKR,"$559,064,504 ",559064504,$556.84 ,"1,003,992 MKR *",1003992,"$29,727,273 ",1.26%,-0.91%,0.12%
36,OMG Network,OMG,"$458,014,066 ",458014066,$3.27 ,"140,245,398 OMG *",140245398,"$118,840,104 ",2.66%,-2.27%,-6.68%
37,UMA,UMA,"$449,155,092 ",449155092,$8.12 ,"55,318,019 UMA *",55318019,"$25,370,210 ",-1.16%,-1.97%,-9.39%
38,Ontology,ONT,"$423,966,442 ",423966442,$0.55 ,"775,484,099 ONT *",775484099,"$151,252,873 ",5.16%,-4.70%,-6.95%
39,yearn.finance,YFI,"$408,125,766 ",408125766,"$13,618.85 ","29,968 YFI *",29968,"$297,636,628 ",2.68%,-2.45%,-13.52%
40,Synthetix Network Token,SNX,"$387,015,081 ",387015081,$3.76 ,"102,898,987 SNX *",102898987,"$57,324,071 ",0.24%,1.25%,-17.10%
41,ABBC Coin,ABBC,"$347,472,186 ",347472186,$0.59 ,"587,230,742 ABBC",587230742,"$51,626,715 ",-2.72%,1.56%,41.95%
42,FTX Token,FTT,"$343,071,003 ",343071003,$3.64 ,"94,346,958 FTT *",94346958,"$4,334,569 ",0.96%,0.50%,-0.76%
43,TrueUSD,TUSD,"$332,092,069 ",332092069,$1.00 ,"331,913,799 TUSD *",331913799,"$77,498,031 ",-0.01%,0.03%,-0.02%
44,Dogecoin,DOGE,"$332,043,726 ",332043726,$0.00 ,"126,756,058,186 DOGE",1.26756E+11,"$55,235,802 ",0.44%,1.20%,-0.59%
45,BitTorrent,BTT,"$331,714,940 ",331714940,$0.00 ,"990,000,000,000 BTT *",9.9E+11,"$73,630,080 ",0.08%,-0.51%,-3.36%
46,Compound,COMP,"$322,140,779 ",322140779,$97.04 ,"3,319,780 COMP *",3319780,"$101,700,683 ",1.72%,-5.16%,-15.86%
47,Algorand,ALGO,"$323,712,071 ",323712071,$0.30 ,"1,091,509,900 ALGO",1091509900,"$63,475,977 ",1.61%,-1.78%,-13.28%
48,Basic Attention Token,BAT,"$315,219,450 ",315219450,$0.21 ,"1,484,868,945 BAT *",1484868945,"$206,666,001 ",1.40%,-0.34%,-2.58%
49,OKB,OKB,"$307,922,721 ",307922721,$5.13 ,"60,000,000 OKB *",60000000,"$74,459,061 ",7.25%,11.86%,-15.69%
50,Aave,AAVE,"$305,055,882 ",305055882,$33.00 ,"9,243,288 AAVE *",9243288,"$56,565,089 ",2.41%,-4.58%,-37.01%
51,Waves,WAVES,"$299,486,942 ",299486942,$2.90 ,"103,320,550 WAVES *",103320550,"$48,015,995 ",0.71%,0.76%,15.46%
52,DigiByte,DGB,"$294,835,442 ",294835442,$0.02 ,"13,666,656,130 DGB",13666656130,"$9,699,879 ",-0.07%,-5.45%,-10.77%
53,HedgeTrade,HEDG,"$288,182,081 ",288182081,$0.83 ,"347,992,397 HEDG *",347992397,"$612,043 ",3.45%,1.64%,-10.92%
54,0x,ZRX,"$275,619,281 ",275619281,$0.37 ,"743,816,766 ZRX *",743816766,"$63,186,095 ",0.82%,-4.00%,-13.74%
55,Celsius,CEL,"$273,663,588 ",273663588,$1.15 ,"238,863,520 CEL *",238863520,"$5,433,869 ",-1.51%,-5.98%,-11.01%
56,Ren,REN,"$264,905,142 ",264905142,$0.30 ,"884,532,525 REN *",884532525,"$104,571,802 ",2.83%,-8.92%,-16.24%
57,Paxos Standard,PAX,"$244,701,680 ",244701680,$1.00 ,"244,951,954 PAX *",244951954,"$254,257,848 ",-0.41%,0.00%,-0.58%
58,Celo,CELO,"$243,968,020 ",243968020,$1.96 ,"124,447,717 CELO *",124447717,"$1,750,843 ",-0.08%,-3.92%,-8.59%
59,Kusama,KSM,"$242,099,880 ",242099880,$28.58 ,"8,470,098 KSM *",8470098,"$27,718,320 ",0.75%,-2.02%,-7.89%
60,Qtum,QTUM,"$213,735,859 ",213735859,$2.20 ,"97,324,452 QTUM *",97324452,"$296,083,635 ",1.36%,-0.30%,-5.74%
61,ICON,ICX,"$208,842,129 ",208842129,$0.37 ,"570,466,781 ICX *",570466781,"$10,471,119 ",0.41%,-3.18%,-11.27%
62,Zilliqa,ZIL,"$195,313,023 ",195313023,$0.02 ,"10,536,461,439 ZIL",10536461439,"$25,682,368 ",1.08%,-5.49%,-6.73%
63,Aave,LEND,"$188,926,075 ",188926075,$0.51 ,"373,380,206 LEND *",373380206,"$9,506,156 ",-0.16%,6.86%,-2.60%
64,Loopring,LRC,"$185,458,945 ",185458945,$0.16 ,"1,144,730,218 LRC *",1144730218,"$76,148,785 ",2.63%,-4.84%,-12.79%
65,Energy Web Token,EWT,"$184,019,000 ",184019000,$6.12 ,"30,062,138 EWT *",30062138,"$803,099 ",2.16%,-4.23%,-18.13%
66,Kyber Network,KNC,"$177,475,353 ",177475353,$0.90 ,"198,275,485 KNC *",198275485,"$22,683,973 ",1.84%,-1.17%,-9.41%
67,Hedera Hashgraph,HBAR,"$171,450,889 ",171450889,$0.03 ,"5,631,548,942 HBAR *",5631548942,"$22,771,746 ",0.09%,-6.61%,-11.58%
68,HUSD,HUSD,"$170,697,859 ",170697859,$1.00 ,"170,672,530 HUSD *",170672530,"$56,305,492 ",-0.02%,-0.04%,-0.05%
69,Decred,DCR,"$148,189,184 ",148189184,$12.20 ,"12,150,492 DCR",12150492,"$6,652,666 ",2.60%,-1.28%,1.16%
70,NXM,NXM,"$143,532,195 ",143532195,$26.25 ,"5,466,908 NXM *",5466908,"$12,603,408 ",3.47%,-11.87%,-26.93%
71,Augur,REP,"$142,229,959 ",142229959,$12.93 ,"11,000,000 REP *",11000000,"$8,988,790 ",0.74%,-1.10%,-3.45%
72,Lisk,LSK,"$137,102,283 ",137102283,$1.09 ,"126,190,555 LSK *",126190555,"$2,752,217 ",1.06%,-1.01%,-5.91%
73,Quant,QNT,"$134,507,778 ",134507778,$11.14 ,"12,072,738 QNT *",12072738,"$3,163,477 ",-0.46%,-2.59%,0.71%
74,Bitcoin Gold,BTG,"$133,709,005 ",133709005,$7.63 ,"17,513,924 BTG",17513924,"$5,156,817 ",1.19%,-1.96%,-5.54%
75,Ocean Protocol,OCEAN,"$130,111,134 ",130111134,$0.34 ,"379,543,323 OCEAN *",379543323,"$11,798,873 ",0.10%,-3.23%,-9.19%
76,CyberVein,CVT,"$129,221,209 ",129221209,$0.12 ,"1,060,404,496 CVT *",1060404496,"$2,201,792 ",-1.36%,-1.45%,-6.64%
77,NEAR Protocol,NEAR,"$127,595,261 ",127595261,$0.73 ,"174,876,443 NEAR *",174876443,"$15,465,385 ",5.00%,-8.41%,0.00%
78,ZB Token,ZB,"$124,580,477 ",124580477,$0.27 ,"463,288,810 ZB *",463288810,"$9,656,288 ",2.81%,4.37%,1.48%
79,The Midas Touch Gold,TMTG,"$123,195,008 ",123195008,$0.02 ,"5,925,840,363 TMTG *",5925840363,"$12,200,771 ",-0.99%,-1.60%,-5.24%
80,Terra,LUNA,"$120,644,245 ",120644245,$0.31 ,"386,950,380 LUNA *",386950380,"$4,342,131 ",0.60%,-1.89%,-3.57%
81,Revain,REV,"$120,578,724 ",120578724,$0.01 ,"11,484,410,729 REV *",11484410729,"$474,021 ",0.07%,0.25%,-0.55%
82,Nano,NANO,"$120,144,029 ",120144029,$0.90 ,"133,248,297 NANO *",133248297,"$14,883,975 ",2.09%,7.08%,10.13%
83,Enjin Coin,ENJ,"$118,711,923 ",118711923,$0.14 ,"823,130,411 ENJ *",823130411,"$7,349,090 ",1.84%,-2.80%,-9.66%
84,Band Protocol,BAND,"$118,755,061 ",118755061,$5.79 ,"20,494,033 BAND *",20494033,"$78,015,644 ",1.22%,-4.91%,-14.05%
85,Siacoin,SC,"$116,504,745 ",116504745,$0.00 ,"44,932,042,992 SC",44932042992,"$5,452,102 ",-1.08%,-7.03%,-20.25%
86,Blockstack,STX,"$108,713,030 ",108713030,$0.17 ,"652,288,448 STX *",652288448,"$1,057,139 ",0.66%,1.96%,-1.63%
87,Decentraland,MANA,"$107,397,721 ",107397721,$0.07 ,"1,484,100,734 MANA *",1484100734,"$22,376,529 ",0.59%,-1.85%,-6.92%
88,Elrond,EGLD,"$100,513,277 ",100513277,$7.33 ,"13,710,605 EGLD *",13710605,"$8,292,576 ",1.24%,0.03%,-7.86%
89,Aragon,ANT,"$97,281,999 ",97281999,$2.94 ,"33,142,159 ANT *",33142159,"$23,612,817 ",1.83%,-8.47%,-18.39%
90,Avalanche,AVAX,"$97,714,080 ",97714080,$3.99 ,"24,500,000 AVAX *",24500000,"$23,442,005 ",2.74%,-1.64%,-9.89%
91,Bitcoin Diamond,BCD,"$94,807,016 ",94807016,$0.51 ,"186,492,898 BCD",186492898,"$2,837,913 ",0.66%,-0.40%,-5.90%
92,Ravencoin,RVN,"$92,295,009 ",92295009,$0.01 ,"7,298,015,000 RVN",7298015000,"$8,736,552 ",0.83%,-0.70%,-5.18%
93,Reserve Rights,RSR,"$92,188,189 ",92188189,$0.01 ,"9,349,999,000 RSR *",9349999000,"$89,049,231 ",3.91%,-12.84%,-4.68%
94,Golem,GNT,"$91,000,079 ",91000079,$0.09 ,"990,670,000 GNT *",990670000,"$3,776,304 ",3.01%,-0.17%,-13.11%
95,Numeraire,NMR,"$90,947,159 ",90947159,$27.15 ,"3,350,346 NMR *",3350346,"$6,668,665 ",1.88%,-5.67%,-12.49%
96,Arweave,AR,"$89,981,113 ",89981113,$2.69 ,"33,394,701 AR *",33394701,"$3,604,720 ",3.32%,-9.04%,-42.29%
97,Balancer,BAL,"$87,754,266 ",87754266,$12.64 ,"6,943,831 BAL *",6943831,"$42,515,125 ",1.22%,-3.96%,-16.65%
98,SushiSwap,SUSHI,"$86,830,793 ",86830793,$0.66 ,"131,579,248 SUSHI *",131579248,"$35,792,426 ",4.99%,-2.01%,-11.01%
99,Orchid,OXT,"$85,959,490 ",85959490,$0.23 ,"367,584,352 OXT *",367584352,"$5,724,946 ",1.78%,-3.07%,-9.25%
100,Bytom,BTM,"$85,393,467 ",85393467,$0.06 ,"1,381,126,094 BTM",1381126094,"$23,169,888 ",0.82%,0.04%,-5.23%
101,DxChain Token,DX,"$85,003,190 ",85003190,$0.00 ,"50,000,000,000 DX *",50000000000,"$84,445 ",-3.27%,-2.08%,-14.61%
102,Solana,SOL,"$85,528,026 ",85528026,$1.95 ,"43,772,045 SOL *",43772045,"$13,200,362 ",3.01%,-6.42%,-18.76%
103,Nervos Network,CKB,"$85,100,629 ",85100629,$0.00 ,"21,099,278,743 CKB *",21099278743,"$7,939,628 ",0.73%,-3.99%,-14.03%
104,Swipe,SXP,"$84,992,706 ",84992706,$1.11 ,"76,766,934 SXP *",76766934,"$80,302,187 ",0.05%,-7.06%,-12.20%
105,Holo,HOT,"$84,553,329 ",84553329,$0.00 ,"166,475,121,691 HOT *",1.66475E+11,"$5,725,953 ",0.54%,3.96%,2.15%
106,MonaCoin,MONA,"$83,122,554 ",83122554,$1.26 ,"65,729,675 MONA",65729675,"$1,258,893 ",0.63%,-0.45%,0.44%
107,Nexo,NEXO,"$82,018,638 ",82018638,$0.15 ,"560,000,011 NEXO *",560000011,"$7,336,774 ",2.03%,-4.01%,13.43%
108,Status,SNT,"$80,972,800 ",80972800,$0.02 ,"3,470,483,788 SNT *",3470483788,"$4,961,771 ",1.26%,-1.26%,-7.39%
109,IOST,IOST,"$80,519,767 ",80519767,$0.01 ,"15,223,687,258 IOST *",15223687258,"$29,811,739 ",1.96%,-4.38%,-11.66%
110,Ampleforth,AMPL,"$80,406,011 ",80406011,$0.88 ,"91,460,789 AMPL *",91460789,"$1,393,974 ",1.73%,-5.69%,13.59%
111,Storj,STORJ,"$77,172,190 ",77172190,$0.39 ,"198,650,514 STORJ *",198650514,"$19,090,746 ",2.77%,-0.32%,-34.28%
112,THORChain,RUNE,"$76,848,294 ",76848294,$0.49 ,"158,432,088 RUNE *",158432088,"$8,289,588 ",1.48%,-11.44%,-21.04%
113,KuCoin Shares,KCS,"$75,793,999 ",75793999,$0.94 ,"80,728,394 KCS *",80728394,"$7,468,662 ",1.45%,1.00%,7.51%
114,Verge,XVG,"$72,655,724 ",72655724,$0.00 ,"16,375,751,743 XVG",16375751743,"$2,153,873 ",3.35%,-3.65%,-3.45%
115,DFI.Money,YFII,"$70,354,123 ",70354123,"$1,822.83 ","38,596 YFII *",38596,"$177,283,880 ",-0.06%,-3.48%,-20.54%
116,SwissBorg,CHSB,"$67,961,186 ",67961186,$0.07 ,"923,413,697 CHSB *",923413697,"$337,465 ",1.62%,-0.04%,-8.27%
117,Divi,DIVI,"$67,181,383 ",67181383,$0.03 ,"1,955,812,382 DIVI",1955812382,"$382,953 ",2.18%,-5.97%,-5.93%
118,PAX Gold,PAXG,"$66,481,260 ",66481260,"$1,918.36 ","34,655 PAXG *",34655,"$1,682,583 ",0.53%,1.18%,1.19%
119,Penta,PNT,"$66,018,027 ",66018027,$0.00 ,"21,014,319,521 PNT *",21014319521,"$179,259 ",3.31%,0.29%,14.13%
120,iExec RLC,RLC,"$64,109,456 ",64109456,$0.80 ,"80,070,793 RLC *",80070793,"$4,836,796 ",1.23%,-5.16%,-22.52%
121,Bancor,BNT,"$63,513,885 ",63513885,$0.92 ,"69,298,094 BNT *",69298094,"$58,353,860 ",1.82%,-11.44%,-30.14%
122,Kava.io,KAVA,"$62,607,656 ",62607656,$1.87 ,"33,485,395 KAVA *",33485395,"$9,997,000 ",2.08%,-4.99%,-18.93%
123,Steem,STEEM,"$60,956,879 ",60956879,$0.16 ,"389,380,345 STEEM *",389380345,"$4,266,406 ",0.33%,0.15%,-6.37%
124,Matic Network,MATIC,"$60,936,245 ",60936245,$0.02 ,"3,830,626,432 MATIC *",3830626432,"$22,704,228 ",1.24%,-2.86%,-10.01%
125,Komodo,KMD,"$60,025,327 ",60025327,$0.49 ,"122,357,278 KMD",122357278,"$3,222,392 ",0.93%,-6.46%,-12.03%
126,Horizen,ZEN,"$58,871,347 ",58871347,$5.77 ,"10,198,500 ZEN",10198500,"$7,063,132 ",0.55%,-2.24%,-7.93%
127,apM Coin,APM,"$58,805,549 ",58805549,$0.16 ,"361,875,000 APM *",361875000,"$7,188,800 ",-10.37%,-7.44%,83.34%
128,JUST,JST,"$58,017,625 ",58017625,$0.03 ,"2,260,326,706 JST *",2260326706,"$66,605,473 ",0.94%,-1.95%,-10.91%
129,Helium,HNT,"$57,211,493 ",57211493,$1.12 ,"51,092,578 HNT",51092578,"$1,966,360 ",1.51%,-1.95%,-16.39%
130,RSK Infrastructure Framework,RIF,"$56,441,469 ",56441469,$0.09 ,"656,073,345 RIF *",656073345,"$329,669 ",0.62%,3.95%,-6.00%
131,Gnosis,GNO,"$56,285,549 ",56285549,$50.96 ,"1,104,590 GNO *",1104590,"$988,483 ",1.68%,10.01%,8.62%
132,Hive,HIVE,"$55,605,281 ",55605281,$0.14 ,"403,527,662 HIVE *",403527662,"$1,581,216 ",0.58%,-0.78%,-12.25%
133,BitShares,BTS,"$55,119,944 ",55119944,$0.02 ,"2,997,460,000 BTS *",2997460000,"$3,894,480 ",0.74%,-2.33%,-5.34%
134,Uquid Coin,UQC,"$54,868,254 ",54868254,$5.49 ,"10,000,000 UQC *",10000000,"$8,834,736 ",9.49%,8.96%,9.03%
135,Electroneum,ETN,"$54,128,252 ",54128252,$0.01 ,"10,201,693,115 ETN",10201693115,"$1,320,576 ",0.52%,1.08%,-0.22%
136,Serum,SRM,"$54,329,024 ",54329024,$1.09 ,"50,000,000 SRM *",50000000,"$45,326,207 ",1.80%,-8.91%,-18.37%
137,Chiliz,CHZ,"$51,795,582 ",51795582,$0.01 ,"4,920,737,861 CHZ *",4920737861,"$5,001,473 ",1.51%,-1.18%,-4.18%
138,WAX,WAXP,"$51,586,909 ",51586909,$0.04 ,"1,370,391,106 WAXP *",1370391106,"$404,762 ",0.19%,-2.12%,-7.99%
139,Velas,VLX,"$51,122,106 ",51122106,$0.04 ,"1,411,632,215 VLX *",1411632215,"$2,597,038 ",-0.43%,-1.22%,-24.84%
140,Fantom,FTM,"$50,922,720 ",50922720,$0.02 ,"2,124,416,531 FTM *",2124416531,"$10,275,656 ",1.53%,-4.78%,-22.47%
141,Energi,NRG,"$50,529,657 ",50529657,$1.48 ,"34,096,333 NRG",34096333,"$1,773,196 ",1.41%,2.49%,-6.81%
142,aelf,ELF,"$50,106,826 ",50106826,$0.09 ,"544,480,200 ELF *",544480200,"$6,859,459 ",1.23%,-0.06%,-4.53%
143,IRISnet,IRIS,"$49,979,718 ",49979718,$0.06 ,"846,571,323 IRIS *",846571323,"$4,224,626 ",2.28%,-6.59%,-16.66%
144,Utrust,UTK,"$49,386,741 ",49386741,$0.11 ,"450,000,000 UTK *",450000000,"$3,417,757 ",-0.53%,-11.84%,-17.92%
145,Ardor,ARDR,"$49,252,259 ",49252259,$0.05 ,"998,999,495 ARDR *",998999495,"$2,148,708 ",0.73%,0.91%,-4.47%
146,Theta Fuel,TFUEL,"$48,196,515 ",48196515,$0.01 ,"4,962,631,792 TFUEL *",4962631792,"$4,213,265 ",0.49%,-1.23%,-2.16%
147,HyperCash,HC,"$47,928,008 ",47928008,$1.07 ,"44,840,025 HC",44840025,"$7,224,525 ",1.73%,-0.11%,-4.88%
148,MCO,MCO,"$47,761,147 ",47761147,$3.02 ,"15,793,831 MCO *",15793831,"$4,190,374 ",1.20%,-7.88%,-28.83%
149,TomoChain,TOMO,"$48,064,595 ",48064595,$0.63 ,"75,776,425 TOMO",75776425,"$8,117,421 ",2.32%,-5.44%,-21.19%
150,Hyperion,HYN,"$47,348,101 ",47348101,$0.15 ,"316,765,917 HYN *",316765917,"$300,192 ",0.07%,-15.34%,-22.00%
151,Ankr,ANKR,"$47,263,903 ",47263903,$0.01 ,"5,829,566,044 ANKR *",5829566044,"$11,370,335 ",3.79%,-4.73%,-0.49%
152,Unibright,UBT,"$46,836,255 ",46836255,$0.31 ,"148,799,999 UBT *",148799999,"$1,405,823 ",2.58%,5.53%,1.27%
153,MaidSafeCoin,MAID,"$46,099,525 ",46099525,$0.10 ,"452,552,412 MAID *",452552412,"$229,276 ",1.50%,-5.67%,20.57%
154,Kleros,PNK,"$45,213,971 ",45213971,$0.08 ,"553,290,265 PNK *",553290265,"$7,239,568 ",0.46%,88.61%,44.17%
155,Wanchain,WAN,"$43,068,167 ",43068167,$0.26 ,"168,674,306 WAN *",168674306,"$876,092 ",0.81%,-1.56%,-6.11%
156,MXC,MXC,"$42,322,223 ",42322223,$0.02 ,"2,605,538,083 MXC *",2605538083,"$3,094,139 ",-1.03%,-5.13%,-15.67%
157,ShareToken,SHR,"$41,837,349 ",41837349,$0.02 ,"1,946,718,432 SHR *",1946718432,"$5,006,242 ",1.26%,-1.88%,-8.01%
158,Zcoin,XZC,"$41,780,625 ",41780625,$3.76 ,"11,123,918 XZC",11123918,"$6,724,399 ",0.54%,-2.00%,-14.72%
159,GateToken,GT,"$39,956,237 ",39956237,$0.51 ,"78,504,038 GT *",78504038,"$26,923,426 ",1.27%,0.86%,-3.52%
160,Hxro,HXRO,"$39,219,782 ",39219782,$0.22 ,"181,986,452 HXRO *",181986452,"$315,123 ",1.04%,1.39%,-1.07%
161,Stratis,STRAT,"$39,153,310 ",39153310,$0.39 ,"100,002,698 STRAT *",100002698,"$1,213,929 ",0.20%,-3.78%,-15.45%
162,Handshake ,HNS,"$38,780,824 ",38780824,$0.12 ,"315,997,050 HNS *",315997050,"$912,613 ",-1.21%,-6.01%,-18.09%
163,WaykiChain,WICC,"$37,473,096 ",37473096,$0.20 ,"189,000,000 WICC *",189000000,"$10,433,750 ",1.12%,1.14%,-8.49%
164,Curve DAO Token,CRV,"$38,206,494 ",38206494,$0.38 ,"100,903,659 CRV *",100903659,"$22,202,573 ",2.94%,-4.75%,-30.45%
165,STASIS EURO,EURS,"$36,934,316 ",36934316,$1.15 ,"31,979,207 EURS *",31979207,"$1,419,362 ",0.46%,1.08%,-0.34%
166,Pundi X,NPXS,"$37,212,689 ",37212689,$0.00 ,"234,544,488,396 NPXS *",2.34544E+11,"$1,430,319 ",0.73%,-1.77%,-6.97%
167,Aurora,AOA,"$36,185,037 ",36185037,$0.01 ,"6,542,330,148 AOA *",6542330148,"$4,067,641 ",2.22%,0.20%,2.02%
168,Fetch.ai,FET,"$35,856,626 ",35856626,$0.05 ,"746,113,681 FET *",746113681,"$5,447,365 ",4.71%,-6.96%,-9.70%
169,v.systems,VSYS,"$35,336,070 ",35336070,$0.02 ,"2,116,316,752 VSYS *",2116316752,"$1,618,252 ",0.04%,-6.11%,-14.40%
170,xDai,STAKE,"$35,740,212 ",35740212,$11.88 ,"3,009,307 STAKE *",3009307,"$4,897,454 ",3.40%,-9.25%,-7.58%
171,Ark,ARK,"$35,040,816 ",35040816,$0.28 ,"124,611,127 ARK *",124611127,"$1,875,935 ",0.79%,-3.24%,-9.52%
172,Aeternity,AE,"$34,785,328 ",34785328,$0.11 ,"323,169,227 AE",323169227,"$8,149,850 ",1.25%,-0.51%,-7.88%
173,OriginTrail,TRAC,"$34,252,504 ",34252504,$0.11 ,"319,784,296 TRAC *",319784296,"$148,199 ",5.11%,2.71%,-3.84%
174,Aion,AION,"$34,197,008 ",34197008,$0.07 ,"468,225,632 AION",468225632,"$2,229,720 ",0.10%,-5.12%,-16.20%
175,SOLVE,SOLVE,"$33,961,150 ",33961150,$0.10 ,"340,651,077 SOLVE *",340651077,"$1,095,944 ",0.99%,-2.06%,-5.63%
176,Power Ledger,POWR,"$33,462,872 ",33462872,$0.08 ,"424,067,509 POWR *",424067509,"$939,908 ",0.70%,-1.85%,-9.63%
177,DIA,DIA,"$33,468,541 ",33468541,$1.18 ,"28,271,916 DIA *",28271916,"$13,732,175 ",1.57%,-6.84%,-25.47%
178,FXC,FXC,"$32,697,583 ",32697583,$0.00 ,"7,608,049,786 FXC *",7608049786,"$409,250 ",0.03%,-3.83%,10.26%
